nr	Omschrijving	H.kcal	H.kJ	eiwit	kool.tot	kool.suiker	kool.anders	vet.tot	vet.vz	vet.ov	vez	Na 
422	Vlees.boterhamworst.Albert.Hein	240	1005	11.00	6.00	0.20	5.80	19.00	8.50	10.50	0.30	1.160
423	Vlees.schwarzwalder.schinken.Abraham	208	869	24.00	1.00	1.00	0.00	12.00	4.50	7.50	0.00	2.000
444	Kaas.strooikaas.Geska	227	950	55.00	0.00	0.00	0.00	0.70	0.40	0.30	0.00	8.000
471	Hazelnootpasta.Lidl	560	2331	5.90	51.80	49.70	2.10	35.70	6.90	28.80	3.70	0.100
472	Jam.aardbei.rabarber.Maribel	239	1016	0.40	58.00	54.00	4.00	0.10	0.10	0.00	1.40	0.010
491	Vlees.chorizo.Stegeman	507	2104	27.80	4.00	2.00	2.00	42.20	20.10	22.10	0.00	4.400
524	Hagelslag.puur.2.Plus	432	1808	4.80	67.40	64.60	2.80	15.70	9.00	6.70	6.60	0.100
531	Vlees.kipfilet.gerookt.Jumbo	125	525	16.00	4.00	1.10	2.90	5.00	1.20	3.80	0.00	1.300
606	Kaas.jong.belegen.48plus.Albert.Hein	370	1540	23.00	0.00	0.00	0.00	31.00	21.00	10.00	0.00	0.800
611	Vlees.ontbijtspek.Jumbo	355	1533	14.00	1.00	0.00	1.00	35.00	7.20	27.80	0.00	1.220
628	Kaas.jong.48plus.2.Albert.Hein	360	1500	23.00	0.00	0.00	0.00	30.00	21.00	9.00	0.00	0.720
647	Kaas.jong.belegen.48plus.Brans	377	1563	25.00	2.40	0.00	2.40	30.00	20.00	10.00	0.00	0.800
648	Kaas.oud.48plus.Brans	397	1646	26.30	2.40	0.00	2.40	31.30	19.10	12.20	0.00	0.800
652	Kaas.geiten.Vergeer	365	1513	21.00	2.40	0.00	2.40	30.00	19.00	11.00	0.00	0.700
656	Pesto.piccante.Grand.Italia	317	1308	4.80	6.50	3.30	3.20	29.70	4.20	25.50	2.10	1.100
664	Hazelnootpasta.AH.Basis	585	2430	1.50	58.00	57.00	1.00	38.00	9.50	28.50	1.50	0.000
676	Sandwichspread.tomaat.lenteui.Heinz	185	770	1.50	16.00	15.00	1.00	12.00	1.00	11.00	0.80	0.770
677	Sandwichspread.pikante.groenten.Heinz	225	930	1.70	20.00	18.00	2.00	15.00	1.00	14.00	1.10	0.890
678	Sandwichspread.tuinkruiden.Heinz	220	905	1.90	16.00	14.00	2.00	16.00	1.10	14.90	1.30	0.810
679	Hazelnootpasta.2.Jumbo	559	2342	6.40	49.50	48.50	1.00	36.80	5.20	31.60	3.80	0.040
680	Hazelnootpasta.Plus	572	2381	3.40	54.60	47.10	7.50	37.10	7.70	29.40	2.80	0.100
681	Honing.bloemen.2.Albert.Hein	305	1316	0.40	75.00	75.00	0.00	0.00	0.00	0.00	0.00	0.000
682	Chocovlokken.puur.De.Ruijter	440	1855	4.90	67.00	64.00	3.00	16.00	9.40	6.60	6.00	0.010
