id.nr	type	H.kcal	eiwit	kool.tot	kool.suiker	kool.anders	vet.tot	vet.vz	vet.ov	vezels	Na 
230	chocolade	546	5.90	56.50	54.10	2.40	32.90	17.70	15.20	2.10	0.030
231	chocolade	539	8.10	54.90	54.00	0.90	31.90	19.60	12.30	1.90	0.100
232	rijst	410	11.00	63.00	9.00	54.00	13.00	2.00	11.00	2.00	0.030
234	kaas	335	18.00	0.60	0.10	0.50	29.00	16.00	13.00	1.00	0.300
239	brood	230	8.50	44.00	1.50	42.50	1.50	0.40	1.10	4.50	0.440
240	vlees	150	19.00	3.00	0.30	2.70	7.00	2.50	4.50	0.00	0.720
242	koekjes	495	6.50	62.00	32.00	30.00	24.00	12.00	12.00	4.00	0.260
245	noten	586	21.40	16.50	7.80	8.70	46.00	5.60	40.40	10.30	0.410
247	melk	337	2.30	3.20	3.00	0.20	35.00	23.00	12.00	0.00	0.040
248	melk	45	8.50	2.50	2.50	0.00	0.10	0.10	0.00	0.00	0.040
249	taart	210	5.60	21.00	14.00	7.00	12.00	5.40	6.60	0.50	0.090
250	melk	48	3.60	4.60	4.60	0.00	1.50	1.10	0.40	0.00	0.050
251	pasta	355	12.50	73.00	2.40	70.60	1.40	0.30	1.10	2.60	0.000
252	groente	9	1.00	0.30	0.00	0.30	0.00	0.00	0.00	2.20	0.030
253	brood	217	7.30	45.00	0.90	44.10	0.90	0.30	0.60	1.70	0.450
256	aardappel	78	2.00	17.00	0.00	17.00	0.08	0.00	0.08	2.50	0.003
257	chips	550	6.50	54.00	0.30	53.70	34.00	3.50	30.50	4.00	0.500
260	groente	48	5.00	3.00	0.00	3.00	1.00	0.10	0.90	3.50	0.010
261	chips	540	6.00	52.00	0.50	51.50	35.00	3.00	32.00	4.00	0.550
264	koekjes	315	3.30	73.20	42.20	31.00	0.70	0.10	0.60	2.30	0.220
265	chocolade	542	4.10	54.50	52.40	2.10	33.50	21.00	12.50	3.20	0.030
266	chocolade	538	5.90	56.10	54.40	1.70	31.50	19.70	11.80	3.10	0.040
270	chocolade	432	4.80	67.40	64.60	2.80	15.70	9.00	6.70	6.60	0.130
272	chocolade	577	8.20	48.30	44.70	3.60	38.10	15.50	22.60	4.10	0.040
274	groente	31	2.00	4.00	3.00	1.00	0.10	0.00	0.10	3.50	0.010
275	chips	510	4.50	61.00	8.50	52.50	28.00	3.00	25.00	2.50	1.100
278	groente	30	1.80	3.60	3.40	0.20	0.40	0.10	0.30	2.70	0.030
279	pasta	355	12.00	72.00	2.00	70.00	1.50	0.10	1.40	2.50	0.010
280	aardappel	208	2.80	27.60	0.70	26.90	9.10	4.60	4.50	2.30	0.350
281	koekjes	470	6.50	66.00	21.00	45.00	20.00	10.00	10.00	4.00	0.900
285	groente	11	0.90	2.00	2.00	0.00	0.00	0.00	0.00	1.50	0.010
286	vlees	150	17.00	4.50	0.50	4.00	7.00	2.50	4.50	0.00	0.700
288	groente	28	3.00	3.00	1.50	1.50	0.30	0.00	0.30	1.00	0.010
289	groente	84	2.50	13.00	5.00	8.00	1.50	0.30	1.20	4.00	0.160
290	groente	27	2.00	3.00	2.00	1.00	0.80	0.10	0.70	3.00	0.010
291	groente	28	0.80	5.00	4.50	0.50	0.10	0.00	0.10	2.00	0.000
292	vlees	195	19.00	0.80	0.00	0.80	13.00	6.00	7.00	0.00	0.080
296	drinken	44	0.10	11.00	11.00	0.00	0.00	0.00	0.00	0.00	0.000
297	groente	27	0.50	3.00	3.00	0.00	1.50	0.30	1.20	4.00	0.010
299	brood	378	7.00	84.00	8.00	76.00	0.90	0.20	0.70	3.00	0.500
300	groente	11	0.90	2.00	2.00	0.00	0.00	0.00	0.00	1.50	0.010
302	chips	510	3.50	62.00	7.50	54.50	28.00	3.00	25.00	1.00	1.400
303	pasta	345	12.00	71.00	2.00	69.00	1.00	0.20	0.80	3.00	0.010
305	vlees	395	17.00	0.50	0.50	0.00	36.00	16.00	20.00	0.00	1.970
308	rijst	350	8.00	77.00	0.00	77.00	1.00	0.50	0.50	1.00	0.000
310	melk	332	2.50	3.00	3.00	0.00	35.00	24.00	11.00	0.00	0.030
311	pizza	260	10.00	25.00	1.50	23.50	13.00	5.50	7.50	0.70	0.530
312	pizza	255	11.00	23.00	1.50	21.50	13.00	4.00	9.00	0.50	0.470
315	groente	80	3.00	10.80	5.60	5.20	1.90	0.40	1.50	3.60	0.110
316	kaas	385	27.00	2.00	0.10	1.90	30.00	21.00	9.00	0.00	0.640
318	melk	337	2.30	3.20	3.00	0.20	35.00	23.00	12.00	0.00	0.040
320	groente	23	1.90	2.50	2.20	0.30	0.20	0.00	0.20	2.00	0.010
321	vlees	195	19.00	0.00	0.00	0.00	12.00	4.50	7.50	0.00	1.600
324	chocolade	545	6.90	54.00	53.00	1.00	33.00	20.00	13.00	2.30	0.100
327	kaas	375	23.00	0.00	0.00	0.00	31.00	21.00	10.00	0.00	0.800
328	chocolade	561	6.50	51.40	50.20	1.20	36.40	23.10	13.30	2.20	0.070
331	kaas	420	31.00	2.00	0.10	1.90	32.00	22.00	10.00	0.00	0.830
332	kaas	275	21.00	0.50	0.00	0.50	20.00	14.00	6.00	0.00	0.620
334	taart	451	7.60	46.90	32.40	14.50	25.40	9.90	15.50	2.80	0.210
335	vlees	240	15.00	2.50	1.00	1.50	19.00	7.00	12.00	0.00	0.800
339	noten	610	18.00	25.00	8.50	16.50	49.00	10.00	39.00	3.00	0.300
340	groente	11	0.90	2.00	2.00	0.00	0.00	0.00	0.00	1.50	0.010
341	kaas	303	4.80	4.10	3.90	0.20	29.50	18.80	10.70	0.10	0.560
342	groente	80	2.90	10.80	5.20	5.60	1.90	0.50	1.40	3.80	0.160
343	pasta	351	11.00	72.00	2.00	70.00	1.50	0.10	1.40	2.50	0.010
344	kaas	255	17.00	3.00	0.50	2.50	17.00	10.00	7.00	0.00	0.640
345	chocolade	527	5.40	61.20	60.10	1.10	28.60	17.90	10.70	1.80	0.110
346	noten	518	11.70	42.00	7.10	34.90	32.80	4.30	28.50	3.60	0.760
348	pasta	340	11.00	69.00	2.00	67.00	2.00	0.10	1.90	3.50	0.010
350	koekjes	505	7.50	56.00	28.00	28.00	27.00	12.00	15.00	4.00	0.400
351	melk	47	3.40	4.90	4.90	0.00	1.50	1.00	0.50	0.00	0.050
352	vlees	299	18.00	0.50	0.30	0.20	25.00	11.00	14.00	0.10	1.700
353	melk	47	3.40	4.90	4.90	0.00	1.50	1.00	0.50	0.00	0.050
354	kaas	320	23.80	2.70	0.10	2.60	23.80	16.30	7.50	0.00	0.730
356	pasta	372	15.00	68.00	3.00	65.00	3.70	1.20	2.50	3.10	0.030
358	aardappel	69	1.80	13.30	0.70	12.60	0.80	0.60	0.20	1.10	0.300
361	pasta	350	11.00	74.00	2.50	71.50	1.00	0.00	1.00	2.50	0.000
364	vlees	270	12.00	4.50	0.20	4.30	23.00	10.00	13.00	0.10	1.040
365	koekjes	268	3.70	31.80	19.80	12.00	13.80	4.40	9.40	1.20	0.130
366	vlees	245	18.00	0.50	0.00	0.50	19.00	8.50	10.50	0.20	0.530
367	taart	457	8.00	45.20	28.80	16.40	26.60	11.10	15.50	2.60	0.200
368	vlees	345	13.30	0.70	0.20	0.50	32.20	12.20	20.00	0.00	0.780
369	groente	22	0.80	3.50	3.50	0.00	0.10	0.00	0.10	2.00	0.000
370	chips	120	0.30	16.00	2.00	14.00	6.50	0.60	5.90	0.70	0.250
371	groente	45	2.50	5.00	5.00	0.00	0.70	0.30	0.40	4.00	0.010
372	pasta	349	10.50	72.00	3.50	68.50	1.50	0.10	1.40	2.50	0.385
373	drinken	54	0.30	12.40	12.40	0.00	0.10	0.10	0.00	0.10	0.010
374	koekjes	389	5.00	75.00	42.00	33.00	6.50	3.50	3.00	5.00	0.100
375	aardappel	69	1.90	12.50	1.00	11.50	1.00	0.70	0.30	1.20	0.300
376	kaas	349	17.00	0.50	0.00	0.50	31.00	21.70	9.30	0.00	0.550
377	brood	260	10.00	50.00	5.00	45.00	2.00	0.80	1.20	2.00	0.470
379	groente	31	1.00	5.00	4.50	0.50	0.20	0.00	0.20	2.00	0.010
380	brood	235	8.60	46.60	1.30	45.30	1.00	0.50	0.50	2.50	0.400
381	koekjes	478	5.70	65.00	41.00	24.00	21.00	11.00	10.00	3.60	0.490
382	brood	360	7.00	42.90	4.90	38.00	17.60	12.00	5.60	1.10	0.400
387	jam	262	0.00	65.00	65.00	0.00	0.00	0.00	0.00	1.00	0.020
388	chips	410	2.00	86.00	16.00	70.00	1.50	0.20	1.30	0.70	0.170
389	taart	434	5.30	59.80	34.40	25.40	19.00	11.70	7.30	1.50	0.160
390	kaas	303	4.80	4.10	3.90	0.20	29.50	18.80	10.70	0.10	0.560
391	groente	27	1.50	3.70	3.40	0.30	0.20	0.00	0.20	2.20	0.010
392	groente	31	1.20	4.90	4.00	0.90	0.20	0.00	0.20	2.40	0.050
393	groente	39	2.30	3.90	2.80	1.10	0.60	0.10	0.50	2.70	0.000
394	koekjes	547	6.00	63.90	26.30	37.60	29.30	18.30	11.00	0.00	0.410
397	koekjes	380	5.50	36.00	1.50	34.50	24.00	13.00	11.00	2.00	0.580
398	aardappel	74	2.60	13.90	1.90	12.00	0.70	0.40	0.30	1.10	0.100
399	vlees	463	18.00	1.00	1.00	0.00	43.00	16.50	26.50	0.00	1.610
400	vlees	155	21.00	0.70	0.00	0.70	7.00	3.00	4.00	0.20	0.490
401	vlees	141	13.50	6.00	2.30	3.70	7.00	2.70	4.30	0.10	1.280
402	pasta	190	4.50	30.00	0.10	29.90	5.50	2.50	3.00	0.70	0.160
405	chips	553	11.70	42.80	14.50	28.30	36.80	33.10	3.70	1.90	0.860
406	vlees	130	22.00	0.00	0.00	0.00	5.00	3.00	2.00	0.00	0.110
407	vlees	290	15.00	2.50	0.00	2.50	24.00	9.50	14.50	0.10	0.600
409	vlees	129	10.30	2.00	2.00	0.00	5.00	1.90	3.10	0.00	1.120
410	melk	469	1.00	78.00	12.00	66.00	17.00	9.50	7.50	0.00	0.100
415	melk	59	3.50	4.50	4.50	0.00	3.00	2.00	1.00	0.00	0.040
